y,x,cluster_var,w_left,w_ideology,w_strength,w_strong,w_strength_qrt
1,.0083240271,100101,0,2,.22066909,1,0
1,-.0083240271,100101,1,1,.39157149,1,1
1,.11354375,100101,0,2,.17112009,1,0
1,-.11354375,100101,1,1,.41064155,1,1
1,.0074967742,100101,0,2,.18500994,1,0
1,-.0074967742,100101,0,3,.48386875,2,3
1,.15799659,100101,0,3,.41295761,1,1
0,-.15799659,100101,0,2,.14701639,1,0
1,.022972256,100101,1,1,.45277697,2,2
1,-.022972256,100101,0,3,.48065329,2,3
1,.080226392,100101,0,3,.43777859,2,2
1,-.080226392,100101,1,1,.53496915,2,3
1,.077394605,1001011968,0,3,.41004369,1,1
1,-.077394605,1001011968,1,1,.48534492,2,3
1,.2235997,1001011968,0,3,.44297346,2,2
1,-.2235997,1001011968,1,1,.33579189,1,0
1,.013158739,1001011968,1,1,.37885934,1,0
1,-.013158739,1001011968,0,3,.36657035,1,0
1,.092597008,1001011968,0,3,.4019334,1,1
1,-.092597008,1001011968,1,1,.37565202,1,0
1,.15264276,1001011968,0,3,.45882091,2,2
1,-.15264276,1001011968,1,1,.36247769,1,0
1,.012666553,1001012032,1,1,.47229701,2,3
1,-.012666553,1001012032,0,3,.33866912,1,0
1,.07114774,1001012032,0,2,.33821744,1,0
1,-.07114774,1001012032,0,3,.22793289,1,0
1,-.13709961,100102,1,1,.39157149,1,1
1,.28909788,100102,0,3,.41295761,1,1
1,-.28909788,100102,1,1,.42132667,1,1
1,.15100287,100102,0,3,.48065329,2,3
1,-.15100287,100102,1,1,.45277697,2,2
1,.082884729,1001022016,0,3,.41004369,1,1
1,-.082884729,1001022016,1,1,.48534492,2,3
1,.27741194,1001022016,0,3,.44297346,2,2
1,-.27741194,1001022016,0,4,.13020507,1,0
1,.069812298,1001022016,0,3,.36657035,1,0
1,-.069812298,1001022016,0,4,.15065286,1,0
1,.20483191,1001022016,0,3,.4019334,1,1
1,-.20483191,1001022016,1,1,.37565202,1,0
1,.14186832,1001022016,0,3,.33866912,1,0
1,-.14186832,1001022016,1,1,.47229701,2,3
1,.11379886,1001022016,0,2,.33821744,1,0
1,-.11379886,1001022016,0,3,.22793289,1,0
1,.053904653,100103,0,2,.22066909,1,0
1,-.053904653,100103,0,3,.4343574,1,1
1,.00013783574,100103,0,3,.40028864,1,1
1,-.00013783574,100103,0,2,.17112009,1,0
1,.25465757,100103,0,3,.48386875,2,3
0,-.25465757,100103,0,2,.18500994,1,0
1,.14709085,100103,0,3,.41295761,1,1
1,-.14709085,100103,1,1,.42132667,1,1
1,.19324127,100103,0,3,.48065329,2,3
1,-.19324127,100103,1,1,.45277697,2,2
1,.20293745,100103,1,1,.53496915,2,3
1,-.20293745,100103,0,3,.43777859,2,2
1,.20687941,1001032000,0,3,.36657035,1,0
1,.24902236,1001032000,0,3,.4019334,1,1
1,-.24902236,1001032000,1,1,.37565202,1,0
1,.30989063,1001032000,0,3,.45882091,2,2
1,-.30989063,1001032000,1,1,.36247769,1,0
1,.088681728,1001032000,0,3,.33866912,1,0
1,-.088681728,1001032000,1,1,.47229701,2,3
1,.23888497,1001032000,0,2,.33821744,1,0
1,-.23888497,1001032000,0,3,.22793289,1,0
1,.099410981,1001041984,1,1,.48534492,2,3
1,-.099410981,1001041984,0,3,.41004369,1,1
1,.31399405,1001041984,0,3,.44297346,2,2
1,-.31399405,1001041984,0,4,.13020507,1,0
1,.10573268,1001041984,0,3,.36657035,1,0
1,-.10573268,1001041984,1,1,.37885934,1,0
1,.21090132,1001041984,0,3,.4019334,1,1
1,-.21090132,1001041984,1,1,.37565202,1,0
1,.094068646,1001041984,0,3,.33866912,1,0
1,-.094068646,1001041984,1,1,.47229701,2,3
1,.1749355,1001041984,0,2,.33821744,1,0
1,-.1749355,1001041984,0,4,.13387974,1,0
1,.033034414,1001052032,0,3,.33866912,1,0
1,-.033034414,1001052032,1,1,.47229701,2,3
1,.09871459,1001052032,0,3,.22793289,1,0
1,-.09871459,1001052032,0,2,.33821744,1,0
1,.10854492,100201,0,3,.4343574,1,1
1,-.10854492,100201,1,1,.39157149,1,1
1,.13894722,100201,0,3,.40028864,1,1
1,-.13894722,100201,0,2,.17112009,1,0
1,.25723028,100201,0,3,.48386875,2,3
1,-.25723028,100201,1,1,.3649317,1,0
1,.12089583,100201,0,3,.41295761,1,1
1,-.12089583,100201,1,1,.42132667,1,1
1,.090303212,100201,1,1,.45277697,2,2
1,-.090303212,100201,0,3,.48065329,2,3
1,.2210494,100201,1,1,.53496915,2,3
1,-.2210494,100201,0,3,.43777859,2,2
1,.0024363995,1002011968,1,1,.48534492,2,3
1,-.0024363995,1002011968,0,3,.41004369,1,1
1,.17180194,1002011968,0,3,.44297346,2,2
1,-.17180194,1002011968,1,1,.33579189,1,0
1,.030774802,1002011968,1,1,.37885934,1,0
1,-.030774802,1002011968,0,3,.36657035,1,0
1,.12902927,1002011968,1,1,.37565202,1,0
1,-.12902927,1002011968,0,3,.4019334,1,1
1,.045593321,1002011968,0,3,.45882091,2,2
1,-.045593321,1002011968,1,1,.36247769,1,0
1,.026234329,1002011968,1,1,.47229701,2,3
1,-.026234329,1002011968,0,3,.33866912,1,0
1,.026630342,1002011968,0,2,.33821744,1,0
1,-.026630342,1002011968,0,4,.13387974,1,0
1,.11812776,100202,0,3,.4343574,1,1
1,-.11812776,100202,1,1,.39157149,1,1
1,.14041066,100202,0,3,.40028864,1,1
1,-.14041066,100202,1,1,.41064155,1,1
1,.030502886,100202,1,1,.3649317,1,0
1,-.030502886,100202,0,3,.48386875,2,3
1,.09600012,100202,1,1,.42132667,1,1
1,-.09600012,100202,0,3,.41295761,1,1
1,.056751996,100202,1,1,.45277697,2,2
1,-.056751996,100202,0,3,.48065329,2,3
1,.0052329302,100202,1,1,.53496915,2,3
0,-.0052329302,100202,1,1,.53496915,2,3
1,.038626254,1002022016,1,1,.48534492,2,3
0,-.038626254,1002022016,1,1,.48534492,2,3
1,.15518075,1002022016,0,3,.44297346,2,2
1,-.15518075,1002022016,1,1,.33579189,1,0
1,.0079597235,1002022016,1,1,.37885934,1,0
1,-.0079597235,1002022016,0,3,.36657035,1,0
1,.16226038,1002022016,0,3,.4019334,1,1
1,-.16226038,1002022016,1,1,.37565202,1,0
1,.03418842,1002022016,0,3,.33866912,1,0
1,-.03418842,1002022016,1,1,.47229701,2,3
1,.11305737,1002022016,0,3,.22793289,1,0
1,-.11305737,1002022016,0,4,.13387974,1,0
1,.19372,100203,0,3,.4343574,1,1
1,-.19372,100203,1,1,.39157149,1,1
1,.14968291,100203,0,3,.40028864,1,1
0,-.14968291,100203,1,1,.41064155,1,1
1,.018434942,100203,1,1,.3649317,1,0
1,-.018434942,100203,0,3,.48386875,2,3
1,.16266243,100203,1,1,.42132667,1,1
0,-.16266243,100203,1,1,.42132667,1,1
1,.073232442,100203,1,1,.45277697,2,2
0,-.073232442,100203,1,1,.45277697,2,2
1,.01445967,100203,1,1,.53496915,2,3
1,-.01445967,100203,0,3,.43777859,2,2
1,.23277533,1002032000,1,1,.48534492,2,3
1,-.23277533,1002032000,0,3,.41004369,1,1
1,.018100798,1002032000,0,3,.44297346,2,2
1,-.018100798,1002032000,1,1,.33579189,1,0
1,.2811504,1002032000,1,1,.37885934,1,0
1,-.2811504,1002032000,0,3,.36657035,1,0
1,.19393054,1002032000,1,1,.37565202,1,0
1,-.19393054,1002032000,0,3,.4019334,1,1
1,.049199402,1002032000,1,1,.36247769,1,0
1,-.049199402,1002032000,0,3,.45882091,2,2
1,.090613455,1002032000,1,1,.47229701,2,3
1,-.090613455,1002032000,0,3,.33866912,1,0
1,.017513514,1002032000,0,4,.13387974,1,0
1,-.017513514,1002032000,1,1,.28199872,1,0
1,.18720731,100204,0,3,.4343574,1,1
1,-.18720731,100204,1,1,.39157149,1,1
1,.18887576,100204,0,3,.40028864,1,1
1,-.18887576,100204,1,1,.41064155,1,1
1,.021979213,100204,0,3,.41295761,1,1
1,-.021979213,100204,1,1,.42132667,1,1
1,.06408596,100204,1,1,.45277697,2,2
1,-.06408596,100204,0,3,.48065329,2,3
1,.048749894,100204,1,1,.53496915,2,3
1,-.048749894,100204,0,3,.43777859,2,2
1,.20114873,1002041984,1,1,.48534492,2,3
1,-.20114873,1002041984,0,3,.41004369,1,1
1,.047647059,1002041984,0,3,.44297346,2,2
1,-.047647059,1002041984,1,1,.33579189,1,0
1,.0035923719,1002041984,0,3,.36657035,1,0
1,-.0035923719,1002041984,1,1,.37885934,1,0
1,.054176942,1002041984,1,1,.37565202,1,0
1,-.054176942,1002041984,0,3,.4019334,1,1
1,.059415817,1002041984,0,3,.45882091,2,2
1,-.059415817,1002041984,1,1,.36247769,1,0
1,.0093501359,1002041984,0,3,.33866912,1,0
1,-.0093501359,1002041984,1,1,.47229701,2,3
1,.048492759,1002041984,0,2,.33821744,1,0
1,-.048492759,1002041984,0,4,.13387974,1,0
1,.18858086,100205,0,2,.22066909,1,0
1,-.18858086,100205,1,1,.39157149,1,1
1,.16921976,100205,0,3,.40028864,1,1
1,-.16921976,100205,1,1,.41064155,1,1
1,.1276857,100205,0,2,.18500994,1,0
0,-.1276857,100205,0,3,.48386875,2,3
1,.11291683,100205,0,2,.14701639,1,0
1,-.11291683,100205,1,1,.42132667,1,1
1,.17471436,100205,0,3,.48065329,2,3
1,-.17471436,100205,1,1,.45277697,2,2
1,.093843073,100205,0,3,.43777859,2,2
1,-.093843073,100205,1,1,.53496915,2,3
1,.11126643,1002051968,0,3,.41004369,1,1
1,-.11126643,1002051968,1,1,.48534492,2,3
1,.27344841,1002051968,0,3,.44297346,2,2
1,-.27344841,1002051968,1,1,.33579189,1,0
1,.065353453,1002051968,0,3,.36657035,1,0
1,-.065353453,1002051968,1,1,.37885934,1,0
1,.2835032,1002051968,0,3,.4019334,1,1
1,-.2835032,1002051968,0,4,.1232109,1,0
1,.17086437,1002051968,0,3,.45882091,2,2
1,-.17086437,1002051968,1,1,.36247769,1,0
1,.014303476,1002051968,0,3,.33866912,1,0
1,-.014303476,1002051968,1,1,.47229701,2,3
1,.10367349,1002051968,0,2,.33821744,1,0
1,-.10367349,1002051968,0,4,.13387974,1,0
1,.034116283,100301,1,1,.39157149,1,1
1,-.034116283,100301,0,3,.4343574,1,1
1,.045413047,100301,1,1,.41064155,1,1
1,-.045413047,100301,0,3,.40028864,1,1
1,.034589052,100301,0,3,.48386875,2,3
1,-.034589052,100301,1,1,.3649317,1,0
1,.14491457,100301,0,3,.41295761,1,1
1,-.14491457,100301,1,1,.42132667,1,1
1,.18891367,100301,0,3,.48065329,2,3
1,-.18891367,100301,1,1,.45277697,2,2
1,.022985548,100301,0,3,.43777859,2,2
1,-.022985548,100301,1,1,.53496915,2,3
1,.027109265,1003011968,0,3,.41004369,1,1
1,-.027109265,1003011968,1,1,.48534492,2,3
1,.011269152,1003011968,0,3,.44297346,2,2
1,-.011269152,1003011968,1,1,.33579189,1,0
1,.03475672,1003011968,0,3,.36657035,1,0
1,-.03475672,1003011968,1,1,.37885934,1,0
1,.037897468,1003011968,0,3,.4019334,1,1
1,-.037897468,1003011968,1,1,.37565202,1,0
1,.099564314,1003011968,0,3,.45882091,2,2
1,-.099564314,1003011968,1,1,.36247769,1,0
1,.048010349,1003012032,1,1,.47229701,2,3
1,-.048010349,1003012032,0,3,.33866912,1,0
1,.063836783,1003012032,0,2,.33821744,1,0
1,-.063836783,1003012032,1,1,.28199872,1,0
1,.027683586,100302,1,1,.39157149,1,1
0,-.027683586,100302,1,1,.39157149,1,1
1,.019237876,100302,1,1,.41064155,1,1
0,-.019237876,100302,1,1,.41064155,1,1
1,.064077437,100302,1,1,.3649317,1,0
0,-.064077437,100302,1,1,.3649317,1,0
1,.02266106,100302,1,1,.42132667,1,1
1,-.02266106,100302,0,3,.41295761,1,1
1,.1263524,100302,1,1,.45277697,2,2
1,-.1263524,100302,0,3,.48065329,2,3
1,.091700137,100302,1,1,.53496915,2,3
0,-.091700137,100302,1,1,.53496915,2,3
1,.073411107,1003022016,1,1,.48534492,2,3
1,-.073411107,1003022016,0,3,.41004369,1,1
1,.023883849,1003022016,0,3,.44297346,2,2
1,-.023883849,1003022016,1,1,.33579189,1,0
1,.14861326,1003022016,1,1,.37885934,1,0
1,-.14861326,1003022016,0,3,.36657035,1,0
1,.077423275,1003022016,0,3,.4019334,1,1
1,-.077423275,1003022016,1,1,.37565202,1,0
1,.1544255,1003022016,0,3,.45882091,2,2
1,-.1544255,1003022016,1,1,.36247769,1,0
1,.055231243,1003022016,1,1,.47229701,2,3
1,-.055231243,1003022016,0,3,.33866912,1,0
1,.031731471,1003022016,0,2,.33821744,1,0
1,-.031731471,1003022016,0,3,.22793289,1,0
1,.15098783,100303,1,1,.39157149,1,1
1,-.15098783,100303,1,1,.39157149,1,1
1,.12561083,100303,1,1,.41064155,1,1
1,-.12561083,100303,0,3,.40028864,1,1
1,.0019712746,100303,1,1,.3649317,1,0
1,-.0019712746,100303,0,3,.48386875,2,3
1,.082796931,100303,1,1,.42132667,1,1
1,-.082796931,100303,0,3,.41295761,1,1
1,.10730508,100303,1,1,.45277697,2,2
1,-.10730508,100303,0,3,.48065329,2,3
1,.06809938,100303,1,1,.53496915,2,3
1,-.06809938,100303,0,3,.43777859,2,2
1,.083966553,1003032000,1,1,.48534492,2,3
1,-.083966553,1003032000,0,3,.41004369,1,1
1,.029193074,1003032000,0,3,.44297346,2,2
1,-.029193074,1003032000,1,1,.33579189,1,0
1,.0058048964,1003032000,1,1,.37885934,1,0
1,-.0058048964,1003032000,0,3,.36657035,1,0
1,.1383052,1003032000,0,3,.4019334,1,1
1,-.1383052,1003032000,1,1,.37565202,1,0
1,.16461049,1003032000,0,3,.45882091,2,2
1,-.16461049,1003032000,1,1,.36247769,1,0
1,.10126904,1003032000,1,1,.47229701,2,3
1,-.10126904,1003032000,0,3,.33866912,1,0
1,.14675032,1003032000,0,2,.33821744,1,0
1,-.14675032,1003032000,0,3,.22793289,1,0
1,.018527538,100304,1,1,.39157149,1,1
1,-.018527538,100304,0,3,.4343574,1,1
1,.22473508,100304,1,1,.41064155,1,1
1,-.22473508,100304,0,3,.40028864,1,1
1,.11103883,100304,1,1,.3649317,1,0
1,-.11103883,100304,0,3,.48386875,2,3
1,.21987012,100304,0,2,.14701639,1,0
1,-.21987012,100304,1,1,.42132667,1,1
1,.25884479,100304,0,3,.48065329,2,3
1,-.25884479,100304,1,1,.45277697,2,2
1,.019694775,100304,1,1,.53496915,2,3
1,-.019694775,100304,0,3,.43777859,2,2
1,.1028464,1003041984,1,1,.48534492,2,3
1,-.1028464,1003041984,0,3,.41004369,1,1
1,.22075324,1003041984,0,3,.44297346,2,2
1,-.22075324,1003041984,1,1,.33579189,1,0
1,.0070648491,1003041984,0,3,.36657035,1,0
1,-.0070648491,1003041984,1,1,.37885934,1,0
1,.039675027,1003041984,0,3,.4019334,1,1
1,-.039675027,1003041984,1,1,.37565202,1,0
1,.010443151,1003041984,0,3,.45882091,2,2
1,-.010443151,1003041984,1,1,.36247769,1,0
1,.052262634,100401,1,1,.39157149,1,1
1,-.052262634,100401,0,3,.4343574,1,1
1,.061824828,100401,1,1,.41064155,1,1
1,-.061824828,100401,0,3,.40028864,1,1
1,.070101708,100401,0,3,.48386875,2,3
1,-.070101708,100401,1,1,.3649317,1,0
1,.031785309,100401,0,3,.41295761,1,1
1,-.031785309,100401,1,1,.42132667,1,1
1,.095373526,100401,0,3,.48065329,2,3
1,-.095373526,100401,1,1,.45277697,2,2
1,.050444514,100401,1,1,.53496915,2,3
1,-.050444514,100401,0,3,.43777859,2,2
1,.061753303,1004011968,1,1,.48534492,2,3
1,-.061753303,1004011968,0,3,.41004369,1,1
1,.1606615,1004011968,0,3,.44297346,2,2
1,-.1606615,1004011968,1,1,.33579189,1,0
1,.0046275258,1004011968,1,1,.37885934,1,0
1,-.0046275258,1004011968,0,3,.36657035,1,0
1,.039177597,1004011968,1,1,.37565202,1,0
1,-.039177597,1004011968,0,3,.4019334,1,1
1,.022069782,1004011968,0,3,.45882091,2,2
1,-.022069782,1004011968,1,1,.36247769,1,0
1,.093642429,1004011968,1,1,.47229701,2,3
1,-.093642429,1004011968,0,3,.33866912,1,0
1,.16525149,1004011968,0,2,.33821744,1,0
1,-.16525149,1004011968,0,4,.13387974,1,0
1,.020582438,100402,1,1,.39157149,1,1
0,-.020582438,100402,1,1,.39157149,1,1
1,.036917508,100402,1,1,.41064155,1,1
0,-.036917508,100402,1,1,.41064155,1,1
1,.0077169538,100402,0,3,.48386875,2,3
1,-.0077169538,100402,1,1,.3649317,1,0
1,.016010225,100402,0,3,.41295761,1,1
1,-.016010225,100402,1,1,.42132667,1,1
1,.01076442,100402,0,3,.48065329,2,3
1,-.01076442,100402,1,1,.45277697,2,2
1,.077953249,100402,0,3,.43777859,2,2
1,-.077953249,100402,1,1,.53496915,2,3
1,.0027358532,1004022016,0,3,.41004369,1,1
1,-.0027358532,1004022016,1,1,.48534492,2,3
1,.23614743,1004022016,0,3,.44297346,2,2
1,-.23614743,1004022016,0,4,.13020507,1,0
1,.059582084,1004022016,0,3,.36657035,1,0
1,-.059582084,1004022016,1,1,.37885934,1,0
1,.17918609,1004022016,0,3,.4019334,1,1
1,-.17918609,1004022016,1,1,.37565202,1,0
1,.17782116,1004022016,0,3,.45882091,2,2
1,-.17782116,1004022016,1,1,.36247769,1,0
1,.059877306,1004022016,1,1,.47229701,2,3
1,-.059877306,1004022016,0,3,.33866912,1,0
1,.27487415,1004022016,0,2,.33821744,1,0
1,-.27487415,1004022016,1,1,.28199872,1,0
1,.030416101,100501,0,2,.22066909,1,0
1,-.030416101,100501,1,1,.39157149,1,1
1,.057161123,100501,0,3,.40028864,1,1
1,-.057161123,100501,1,1,.41064155,1,1
1,.021157712,100501,0,3,.48386875,2,3
1,-.021157712,100501,1,1,.3649317,1,0
1,.18290585,100501,0,3,.41295761,1,1
1,-.18290585,100501,1,1,.42132667,1,1
1,.21661058,100501,0,3,.48065329,2,3
1,-.21661058,100501,1,1,.45277697,2,2
1,.088259488,100501,0,3,.43777859,2,2
1,-.088259488,100501,1,1,.53496915,2,3
1,.025160223,1005011968,0,3,.41004369,1,1
1,-.025160223,1005011968,1,1,.48534492,2,3
1,.014740646,1005011968,0,3,.44297346,2,2
1,-.014740646,1005011968,1,1,.33579189,1,0
1,.024654329,1005011968,0,3,.36657035,1,0
1,-.024654329,1005011968,1,1,.37885934,1,0
1,.052063823,1005011968,1,1,.37565202,1,0
1,-.052063823,1005011968,0,3,.4019334,1,1
1,.18272685,1005011968,0,3,.45882091,2,2
1,-.18272685,1005011968,1,1,.36247769,1,0
1,.028650343,1005012032,1,1,.47229701,2,3
1,-.028650343,1005012032,0,3,.33866912,1,0
1,.17845072,1005012032,0,2,.33821744,1,0
1,-.17845072,1005012032,0,3,.22793289,1,0
1,.048546284,100502,0,2,.22066909,1,0
1,-.048546284,100502,0,3,.4343574,1,1
1,.18066806,100502,0,3,.40028864,1,1
1,-.18066806,100502,0,3,.40028864,1,1
1,.22188158,100502,0,3,.41295761,1,1
1,-.22188158,100502,1,1,.42132667,1,1
1,.22514434,100502,0,3,.48065329,2,3
1,-.22514434,100502,1,1,.45277697,2,2
1,.086255223,100502,0,3,.43777859,2,2
1,-.086255223,100502,1,1,.53496915,2,3
1,.14759251,1005022016,0,3,.41004369,1,1
1,-.14759251,1005022016,1,1,.48534492,2,3
1,.12223896,1005022016,0,3,.36657035,1,0
1,-.12223896,1005022016,1,1,.37885934,1,0
1,.057847083,1005022016,0,3,.4019334,1,1
1,-.057847083,1005022016,1,1,.37565202,1,0
1,.019063234,1005022016,1,1,.36247769,1,0
1,-.019063234,1005022016,0,3,.45882091,2,2
1,.094088882,1005022016,1,1,.47229701,2,3
1,-.094088882,1005022016,0,3,.33866912,1,0
1,.31288084,1005022016,0,2,.33821744,1,0
1,-.31288084,1005022016,0,3,.22793289,1,0
1,.08057934,100601,0,3,.4343574,1,1
1,-.08057934,100601,1,1,.39157149,1,1
1,.034875274,100601,1,1,.41064155,1,1
1,-.034875274,100601,0,3,.40028864,1,1
1,.089543968,100601,1,1,.3649317,1,0
1,-.089543968,100601,0,3,.48386875,2,3
1,.17921664,100601,1,1,.42132667,1,1
1,-.17921664,100601,0,3,.41295761,1,1
1,.099867195,100601,0,3,.48065329,2,3
1,-.099867195,100601,1,1,.45277697,2,2
1,.13792723,100601,0,3,.43777859,2,2
1,-.13792723,100601,1,1,.53496915,2,3
1,.18268393,1006011968,0,3,.41004369,1,1
1,-.18268393,1006011968,1,1,.48534492,2,3
1,.093900144,1006011968,0,3,.44297346,2,2
1,-.093900144,1006011968,0,4,.13020507,1,0
1,.027854666,1006011968,0,4,.15065286,1,0
1,-.027854666,1006011968,0,3,.36657035,1,0
1,.005540818,1006011968,0,3,.4019334,1,1
1,-.005540818,1006011968,1,1,.37565202,1,0
1,.21207085,1006011968,0,3,.45882091,2,2
1,-.21207085,1006011968,1,1,.36247769,1,0
1,.15214714,1006012032,0,3,.33866912,1,0
1,-.15214714,1006012032,1,1,.47229701,2,3
1,.02647391,1006012032,0,3,.22793289,1,0
1,-.02647391,1006012032,0,2,.33821744,1,0
1,.16306573,100602,0,3,.4343574,1,1
1,-.16306573,100602,0,2,.22066909,1,0
1,.12525928,100602,0,2,.17112009,1,0
1,-.12525928,100602,0,3,.40028864,1,1
1,.034747452,100602,0,2,.18500994,1,0
1,-.034747452,100602,0,3,.48386875,2,3
1,.075888425,100602,0,2,.14701639,1,0
1,-.075888425,100602,0,3,.41295761,1,1
1,.1828087,100602,0,3,.48065329,2,3
1,-.1828087,100602,1,1,.45277697,2,2
1,.1787248,1006022016,0,3,.41004369,1,1
1,-.1787248,1006022016,1,1,.48534492,2,3
1,.029470414,1006022016,0,4,.13020507,1,0
1,-.029470414,1006022016,0,3,.44297346,2,2
1,.12358065,1006022016,0,3,.36657035,1,0
1,-.12358065,1006022016,0,4,.15065286,1,0
1,.07071358,1006022016,0,3,.4019334,1,1
1,-.07071358,1006022016,1,1,.37565202,1,0
1,.070634991,1006022016,0,3,.33866912,1,0
1,-.070634991,1006022016,1,1,.47229701,2,3
1,.12789096,1006022016,0,2,.33821744,1,0
1,-.12789096,1006022016,0,4,.13387974,1,0
1,.033581689,100603,0,3,.4343574,1,1
1,-.033581689,100603,1,1,.39157149,1,1
1,.11753599,100603,0,3,.40028864,1,1
0,-.11753599,100603,1,1,.41064155,1,1
1,.047029287,100603,0,3,.48386875,2,3
